employer_name,employee_city,employee_state,paystub_count,employer_address_counts,Unnamed: 5,regular_hourly_rate_parsed_counts,paystub_count_by_rate
Starbucks Corporation,2650 N Grantland Ave Fresno,CA,1,"{""2401 Utah Ave South Seattle WA 98124-1067"": 1}",,"{""25.72"": 1}","{""25.72"": 1}"
Starbucks Corporation,Baltimore,MD,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""20.0"": 1}","{""20.0"": 1}"
Starbucks Corporation,Belleview,FL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""16.5"": 1}","{""16.5"": 1}"
Starbucks Corporation,Bronx,NY,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""30.05"": 1}","{""30.05"": 1}"
Starbucks Corporation,Camp Verde,AZ,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""22.23"": 1}","{""22.23"": 1}"
Starbucks Corporation,Carson City,NV,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,{},{}
Starbucks Corporation,Central,SC,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.25"": 1}","{""15.25"": 1}"
Starbucks Corporation,Chantilly,VA,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""21.7"": 1}","{""21.7"": 1}"
Starbucks Corporation,Chicago,IL,5,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1, ""2401 Utah Ave South, Seattle, WA 98124-1067"": 3, ""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""17.25"": 1, ""23.01"": 1, ""24.65"": 1, ""24.94"": 1}","{""17.25"": 1, ""23.01"": 1, ""24.65"": 1, ""24.94"": 1}"
Starbucks Corporation,Columbia,SC,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""19.37"": 1}","{""19.37"": 1}"
Starbucks Corporation,Columbus,OH,2,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1, ""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""15.75"": 1, ""21.63"": 1}","{""15.75"": 1, ""21.63"": 1}"
Starbucks Corporation,Corsicana,TX,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.25"": 1}","{""15.25"": 1}"
Starbucks Corporation,Danville,IN,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""19.62"": 1}","{""19.62"": 1}"
Starbucks Corporation,Davie,FL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.93"": 1}","{""20.93"": 1}"
Starbucks Corporation,Flushing,NY,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,{},{}
Starbucks Corporation,Fontana,CA,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""21.26"": 1}","{""21.26"": 1}"
Starbucks Corporation,Gahanna,OH,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""21.0"": 1}","{""21.0"": 1}"
Starbucks Corporation,Giddings,TX,1,"{""2401 Utah Ave South, Seattle WA 98134"": 1}",,"{""15.25"": 1}","{""15.25"": 1}"
Starbucks Corporation,Glen Burnie,MD,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.75"": 1}","{""15.75"": 1}"
Starbucks Corporation,Indianapolis,IN,1,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1}",,"{""15.25"": 1}","{""15.25"": 1}"
Starbucks Corporation,Indianpolis,IN,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""19.37"": 1}","{""19.37"": 1}"
Starbucks Corporation,Irvine,CA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""25.72"": 1}","{""25.72"": 1}"
Starbucks Corporation,Irving,TX,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.91"": 1}","{""15.91"": 1}"
Starbucks Corporation,Knoxville,TN,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""15.56"": 1}","{""15.56"": 1}"
Starbucks Corporation,Lauderhill,FL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.6"": 1}","{""20.6"": 1}"
Starbucks Corporation,Laurel Hill,NC,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.4"": 1}","{""20.4"": 1}"
Starbucks Corporation,Long Beach,CA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""27.27"": 1}","{""27.27"": 1}"
Starbucks Corporation,Los Angeles,CA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.25"": 1}","{""20.25"": 1}"
Starbucks Corporation,Metairie,LA,2,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 2}",,"{""15.25"": 1}","{""15.25"": 1}"
Starbucks Corporation,Miami,FL,2,"{""2401 Utah Ave South, Seattle WA 98134"": 1, ""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""18.43"": 1, ""21.34"": 1}","{""18.43"": 1, ""21.34"": 1}"
Starbucks Corporation,Milwaukee,WI,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""17.04"": 1}","{""17.04"": 1}"
Starbucks Corporation,Mission Viejo,CA,1,"{""2401 Utah Ave South, Seattle WA 98124-1067"": 1}",,"{""27.01"": 1}","{""27.01"": 1}"
Starbucks Corporation,Nashville,TN,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""23.08"": 1}","{""23.08"": 1}"
Starbucks Corporation,New Orleans,LA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""16.75"": 1}","{""16.75"": 1}"
Starbucks Corporation,North Bergen,NJ,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
Starbucks Corporation,North Kingstown,RI,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.75"": 1}","{""15.75"": 1}"
Starbucks Corporation,Oswego,IL,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""20.0"": 1}","{""20.0"": 1}"
Starbucks Corporation,Pearl River,NY,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""17.59"": 1}","{""17.59"": 1}"
Starbucks Corporation,Richmond,VA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""35.48"": 1}","{""35.48"": 1}"
Starbucks Corporation,Saint Charles,IL,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,{},{}
Starbucks Corporation,Sylmar,CA,1,"{""2401 Utah Ave South, Seattle, WA 98134"": 1}",,"{""21.26"": 1}","{""21.26"": 1}"
Starbucks Corporation,Texarkana,TX,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""23.11"": 1}","{""23.11"": 1}"
Starbucks Corporation,Tulare,CA,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""25.56"": 1}","{""25.56"": 1}"
Starbucks Corporation,Tulsa,OK,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""15.25"": 1}","{""15.25"": 1}"
Starbucks Corporation,Walkersville,MD,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,{},{}
Starbucks Corporation,Warsaw,OH,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""20.0"": 1}","{""20.0"": 1}"
Starbucks Corporation,Waynesville,NC,1,"{""2401 Utah Ave South, Seattle, WA 98124-1067"": 1}",,"{""16.0"": 1}","{""16.0"": 1}"
"Wal-Mart Associates, Inc.",11151 Westport Station Dr A Maryland Heights,MO,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""20.64"": 1}","{""20.64"": 1}"
"Wal-Mart Associates, Inc.",114 Baltimore Cir Darlington,SC,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",1314 Monomoy St. 3 Aurora,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""16.0"": 1}","{""16.0"": 1}"
"Wal-Mart Associates, Inc.",1349 Sharondale Circle,MO,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""24.0"": 1}","{""24.0"": 1}"
"Wal-Mart Associates, Inc.",1399 South Belcher Rd. Lot Largo,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",1413 Riverside Dr Gautier,MS,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.2"": 1}","{""17.2"": 1}"
"Wal-Mart Associates, Inc.",1502 Sherwood Drive,NC,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""19.67"": 1}","{""19.67"": 1}"
"Wal-Mart Associates, Inc.",2028 Petersen Way Suffolk,VA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,{},{}
"Wal-Mart Associates, Inc.",2400 Oakhill Rd,TX,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",2413 W C Street Russellville,AR,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.5"": 1}","{""15.5"": 1}"
"Wal-Mart Associates, Inc.",2790 Stonybrook Ave Merced,CA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""22.0"": 1}","{""22.0"": 1}"
"Wal-Mart Associates, Inc.",3535 Woodside Drive Lot 5 Madison,IN,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",500 Perrymont Avenue Lynchburg,VA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",5334 W Madison Chicago,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",5345 Rolling Oak Ln Charlotte,NC,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.61"": 1}","{""15.61"": 1}"
"Wal-Mart Associates, Inc.",5874 Highway S Dawsonville,GA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.5"": 1}","{""15.5"": 1}"
"Wal-Mart Associates, Inc.",5901 E 6Th Ave Spc 195 Anchorage,AK,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""16.0"": 1}","{""16.0"": 1}"
"Wal-Mart Associates, Inc.",8035 Waxwing Avenue Jacksonville,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""26.8"": 1}","{""26.8"": 1}"
"Wal-Mart Associates, Inc.",947 Evangeline Rd Cleveland,OH,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Austell,GA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Baltimore,MD,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""18.84"": 1}","{""18.84"": 1}"
"Wal-Mart Associates, Inc.",Baytown,TX,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""16.8"": 1}","{""16.8"": 1}"
"Wal-Mart Associates, Inc.",Bella Vista,AR,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Boise,ID,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""20.5"": 1}","{""20.5"": 1}"
"Wal-Mart Associates, Inc.",Canaan,ME,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Canton,MI,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.51"": 1}","{""17.51"": 1}"
"Wal-Mart Associates, Inc.",Canyon Country,CA,1,"{""702 S.W. 8th St, Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Chicago,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""16.0"": 1}","{""16.0"": 1}"
"Wal-Mart Associates, Inc.",Clanton,AL,2,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 2}",,"{""14.28"": 2}","{""14.28"": 2}"
"Wal-Mart Associates, Inc.",Cockeysville,MD,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Conneautville,PA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""19.0"": 1}","{""19.0"": 1}"
"Wal-Mart Associates, Inc.",Covina,CA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Covington,GA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Delta,OH,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""18.2"": 1}","{""18.2"": 1}"
"Wal-Mart Associates, Inc.",Easton,PA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""19.84"": 1}","{""19.84"": 1}"
"Wal-Mart Associates, Inc.",Englewood,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Farmington,MN,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""19.0"": 1}","{""19.0"": 1}"
"Wal-Mart Associates, Inc.",Flint,MI,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.69"": 1}","{""17.69"": 1}"
"Wal-Mart Associates, Inc.",Freeport,ME,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""21.0"": 1}","{""21.0"": 1}"
"Wal-Mart Associates, Inc.",Fries,VA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""19.54"": 1}","{""19.54"": 1}"
"Wal-Mart Associates, Inc.",Front Royal,VA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Greenville,SC,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.3"": 1}","{""15.3"": 1}"
"Wal-Mart Associates, Inc.",Hagerstown,MD,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""23.0"": 1}","{""23.0"": 1}"
"Wal-Mart Associates, Inc.",Harrisonburg,VA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,{},{}
"Wal-Mart Associates, Inc.",Hollywood,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.5"": 1}","{""15.5"": 1}"
"Wal-Mart Associates, Inc.",Homestead,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.34"": 1}","{""17.34"": 1}"
"Wal-Mart Associates, Inc.",Houston,TX,2,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 2}",,"{""14.0"": 1, ""18.72"": 1}","{""14.0"": 1, ""18.72"": 1}"
"Wal-Mart Associates, Inc.",Indianapolis,IN,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Jersey City,NJ,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""20.23"": 1}","{""20.23"": 1}"
"Wal-Mart Associates, Inc.",La Crosse,WI,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.8"": 1}","{""15.8"": 1}"
"Wal-Mart Associates, Inc.",Lake Oswego,OR,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Las Vegas,NV,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""16.0"": 1}","{""16.0"": 1}"
"Wal-Mart Associates, Inc.",Lauderhill,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Leesburg,VA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""16.0"": 1}","{""16.0"": 1}"
"Wal-Mart Associates, Inc.",Lincoln,ND,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.5"": 1}","{""17.5"": 1}"
"Wal-Mart Associates, Inc.",Manteno,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""21.63"": 1}","{""21.63"": 1}"
"Wal-Mart Associates, Inc.",Martinsburg,WV,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.28"": 1}","{""14.28"": 1}"
"Wal-Mart Associates, Inc.",Mechanicsburg,PA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""27.0"": 1}","{""27.0"": 1}"
"Wal-Mart Associates, Inc.",Mesa,AZ,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""22.0"": 1}","{""22.0"": 1}"
"Wal-Mart Associates, Inc.",Metropolis,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Middletown,DE,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""24.95"": 1}","{""24.95"": 1}"
"Wal-Mart Associates, Inc.",Midland,TX,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""19.0"": 1}","{""19.0"": 1}"
"Wal-Mart Associates, Inc.",Millen,GA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.41"": 1}","{""14.41"": 1}"
"Wal-Mart Associates, Inc.",Mulberry,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.57"": 1}","{""14.57"": 1}"
"Wal-Mart Associates, Inc.",Ogden,UT,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""23.7"": 1}","{""23.7"": 1}"
"Wal-Mart Associates, Inc.",Orangevale,CA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Paris,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Plant City,FL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""18.54"": 1}","{""18.54"": 1}"
"Wal-Mart Associates, Inc.",Poydras,LA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Republic,MO,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.5"": 1}","{""15.5"": 1}"
"Wal-Mart Associates, Inc.",Rolla,MO,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,{},{}
"Wal-Mart Associates, Inc.",Roseville,CA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""18.5"": 1}","{""18.5"": 1}"
"Wal-Mart Associates, Inc.",San Antonio,TX,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Springfield,MO,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""15.0"": 1}","{""15.0"": 1}"
"Wal-Mart Associates, Inc.",Tacoma,WA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""20.0"": 1}","{""20.0"": 1}"
"Wal-Mart Associates, Inc.",Waco,TX,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""14.0"": 1}","{""14.0"": 1}"
"Wal-Mart Associates, Inc.",Westminster,CA,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""17.0"": 1}","{""17.0"": 1}"
"Wal-Mart Associates, Inc.",Winston Salem,NC,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""23.11"": 1}","{""23.11"": 1}"
"Wal-Mart Associates, Inc.",Ypsilanti,MI,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""18.54"": 1}","{""18.54"": 1}"
"Wal-Mart Associates, Inc.",Zion,IL,1,"{""702 S.W. 8th St., Bentonville, Arkansas 72716"": 1}",,"{""18.0"": 1}","{""18.0"": 1}"
